Date_m,Date,Price,Open,High,Low,Vol.,Change %
43098,29-Dec-17,6903.39,6952.6,6954.98,6903.39,422.84M,-0.67
43102,02-Jan-18,7006.9,6937.65,7006.91,6924.08,462.20M,1.5
43103,03-Jan-18,7065.53,7017.07,7069.15,7016.7,483.92M,0.84
43104,04-Jan-18,7077.91,7089.5,7098.05,7072.38,493.88M,0.18
43105,05-Jan-18,7136.56,7105.74,7137.04,7097.08,476.41M,0.83
43108,08-Jan-18,7157.39,7135.38,7161.35,7124.09,497.21M,0.29
43109,09-Jan-18,7163.58,7174.19,7181.14,7148.3,491.70M,0.09
43110,10-Jan-18,7153.57,7129.83,7154.24,7111.52,457.15M,-0.14
43111,11-Jan-18,7211.78,7168.73,7211.78,7163.23,456.81M,0.81
43112,12-Jan-18,7261.06,7208.17,7265.26,7205.18,464.78M,0.68
43116,16-Jan-18,7223.69,7307.19,7330.33,7205.93,577.49M,-0.51
43117,17-Jan-18,7298.28,7257.77,7309.36,7229.32,518.58M,1.03
